feature,rfe_inclusion_prob,lasso_inclusion_prob
D26308_at,0.2222222222222222,0.1111111111111111
D29643_at,0.1111111111111111,0.0
D32050_at,0.0,0.1111111111111111
D42041_at,0.1111111111111111,0.0
D42043_at,0.2222222222222222,0.0
D50063_at,0.0,0.1111111111111111
D50918_at,0.1111111111111111,0.0
D63476_at,0.1111111111111111,0.0
D87442_at,0.1111111111111111,0.1111111111111111
HG1612-HT1612_at,0.1111111111111111,0.2222222222222222
HG3254-HT3431_at,0.0,0.1111111111111111
HG3549-HT3751_at,0.1111111111111111,0.0
HG3945-HT4215_at,0.1111111111111111,0.0
J05243_at,0.0,0.1111111111111111
L07633_at,0.0,0.1111111111111111
L13977_at,0.1111111111111111,0.0
L17131_rna1_at,0.1111111111111111,0.0
L26494_at,0.1111111111111111,0.0
L38500_at,0.1111111111111111,0.0
M11147_at,0.1111111111111111,0.1111111111111111
M14016_at,0.2222222222222222,0.1111111111111111
M16424_at,0.1111111111111111,0.0
M17733_at,0.1111111111111111,0.0
M19507_at,0.6666666666666666,0.2222222222222222
M19684_at,0.0,0.1111111111111111
M21121_at,0.1111111111111111,0.0
M21551_rna1_at,0.1111111111111111,0.1111111111111111
M22324_at,0.1111111111111111,0.0
M22960_at,0.3333333333333333,0.3333333333333333
M23197_at,0.6666666666666666,0.8888888888888888
M27891_at,0.3333333333333333,0.5555555555555556
M34344_at,0.1111111111111111,0.0
M55150_at,0.4444444444444444,0.5555555555555556
M58297_at,0.1111111111111111,0.1111111111111111
M62762_at,0.2222222222222222,0.3333333333333333
M63138_at,0.1111111111111111,0.0
M63959_at,0.0,0.1111111111111111
M76378_at,0.1111111111111111,0.0
M80254_at,0.0,0.2222222222222222
M84526_at,0.6666666666666666,0.4444444444444444
M93056_at,0.2222222222222222,0.3333333333333333
M94547_at,0.1111111111111111,0.0
M95178_at,0.1111111111111111,0.0
M95678_at,0.4444444444444444,0.2222222222222222
M96326_rna1_at,0.3333333333333333,0.0
M98045_at,0.1111111111111111,0.1111111111111111
S74221_at,0.2222222222222222,0.0
U02020_at,0.0,0.1111111111111111
U06681_at,0.1111111111111111,0.0
U07132_at,0.1111111111111111,0.0
U09117_at,0.0,0.1111111111111111
U09578_at,0.0,0.1111111111111111
U10868_at,0.2222222222222222,0.0
U11861_at,0.1111111111111111,0.0
U12471_cds1_at,0.1111111111111111,0.0
U15555_at,0.1111111111111111,0.1111111111111111
U34877_at,0.2222222222222222,0.0
U36621_cds2_at,0.1111111111111111,0.0
U41816_at,0.1111111111111111,0.0
U44772_at,0.1111111111111111,0.0
U45973_at,0.1111111111111111,0.1111111111111111
U46499_at,0.1111111111111111,0.2222222222222222
