feature,rfe_inclusion_prob,lasso_inclusion_prob
AFFX-BioB-5_at,0.1111111111111111,0.0
AFFX-BioC-5_at,0.1111111111111111,0.0
AFFX-BioDn-3_at,0.1111111111111111,0.0
AFFX-BioB-M_st,0.1111111111111111,0.0
AFFX-BioDn-3_st,0.4444444444444444,0.0
AFFX-DapX-5_at,0.1111111111111111,0.0
AFFX-DapX-M_at,0.1111111111111111,0.0
AFFX-PheX-M_at,0.1111111111111111,0.0
AFFX-TrpnX-M_at,0.1111111111111111,0.0
AFFX-HUMISGF3A/M97935_MA_at,0.1111111111111111,0.0
AFFX-HUMISGF3A/M97935_MB_at,0.1111111111111111,0.0
AFFX-HUMRGE/M10098_5_at,0.1111111111111111,0.0
AFFX-HUMRGE/M10098_M_at,0.2222222222222222,0.0
AFFX-HUMRGE/M10098_3_at,0.2222222222222222,0.0
AFFX-HUMGAPDH/M33197_M_at,0.1111111111111111,0.0
AFFX-HSAC07/X00351_3_at,0.1111111111111111,0.0
AFFX-HUMTFRR/M11507_5_at,0.5555555555555556,0.0
AFFX-HUMTFRR/M11507_M_at,1.0,0.0
AFFX-HUMTFRR/M11507_3_at,0.1111111111111111,0.0
AFFX-M27830_5_at,0.2222222222222222,0.0
AFFX-M27830_M_at,0.3333333333333333,0.0
AFFX-M27830_3_at,0.2222222222222222,0.0
AFFX-HSAC07/X00351_3_st,0.1111111111111111,0.0
AFFX-HUMGAPDH/M33197_5_st,0.1111111111111111,0.0
AFFX-HSAC07/X00351_5_st,0.1111111111111111,0.0
AB000115_at,0.3333333333333333,0.0
AB000449_at,0.2222222222222222,0.0
AB000464_at,0.1111111111111111,0.0
AB000467_at,0.2222222222222222,0.0
AB000895_at,0.6666666666666666,0.0
AB002314_at,0.1111111111111111,0.0
AB002366_at,0.1111111111111111,0.0
AB002380_at,0.2222222222222222,0.0
AB002559_at,0.8888888888888888,0.0
AB003177_at,0.1111111111111111,0.0
AB004884_at,0.1111111111111111,0.0
AC000061_cds2_at,0.3333333333333333,0.0
AC000064_cds1_at,0.8888888888888888,0.0
AC000064_cds2_at,0.1111111111111111,0.0
AC002045_xpt1_at,0.1111111111111111,0.0
AC002077_at,0.1111111111111111,0.0
AC002115_cds4_at,0.1111111111111111,0.0
AD000092_cds1_at,0.1111111111111111,0.0
AF000177_at,0.2222222222222222,0.0
AF000430_at,0.1111111111111111,0.0
AF000545_at,0.2222222222222222,0.0
AF000560_at,0.5555555555555556,0.0
AF000959_at,0.1111111111111111,0.0
AF001294_at,0.1111111111111111,0.0
AF001620_at,0.2222222222222222,0.0
AF002020_at,0.6666666666666666,0.0
AF002700_at,0.2222222222222222,0.0
AF005043_at,0.6666666666666666,0.0
AF005361_at,0.2222222222222222,0.0
AF005775_at,0.5555555555555556,0.0
AF006087_at,0.8888888888888888,0.0
AF007111_at,0.3333333333333333,0.0
AF009674_at,0.8888888888888888,0.0
AF010193_at,0.5555555555555556,0.0
AF014958_at,0.1111111111111111,0.0
AF015950_at,0.1111111111111111,0.0
AJ000480_at,0.2222222222222222,0.0
AJ001047_at,0.2222222222222222,0.0
AJ001421_at,0.2222222222222222,0.0
D00632_at,0.1111111111111111,0.0
D00726_at,0.5555555555555556,0.0
D10495_at,0.4444444444444444,0.0
D10523_at,0.1111111111111111,0.0
D10704_at,0.2222222222222222,0.0
D11086_at,0.6666666666666666,0.0
D11094_at,0.2222222222222222,0.0
D11139_at,0.3333333333333333,0.0
D13305_at,0.4444444444444444,0.0
D13435_at,0.2222222222222222,0.0
D13540_at,0.4444444444444444,0.0
D13627_at,0.1111111111111111,0.0
D13628_at,0.7777777777777778,0.0
D13637_at,0.2222222222222222,0.0
D13640_at,0.1111111111111111,0.0
D13642_at,0.3333333333333333,0.0
D13748_at,0.1111111111111111,0.0
D13969_at,0.5555555555555556,0.0
