feature,rfe_inclusion_prob,lasso_inclusion_prob,fdr_inclusion_prob
M75715_s_at,0.025,0.0,0.0
M83652_s_at,0.05,0.0,0.5
S49592_s_at,0.025,0.0,0.0
S69272_s_at,0.05,0.0,0.0
S73885_s_at,0.025,0.0,0.0
Z48314_s_at,0.025,0.0,0.0
U29463_s_at,0.025,0.0,0.0
U75276_s_at,0.1,0.0,0.0
X85116_rna1_s_at,0.75,0.1,0.525
X89101_s_at,0.075,0.0,0.0
X77567_s_at,0.025,0.0,0.0
HG2171-HT2241_r_at,0.025,0.0,0.0
HG2239-HT2324_r_at,0.05,0.0,0.0
J02982_f_at,0.05,0.0,0.0
M31523_at,0.0,0.025,0.325
X16546_at,0.075,0.0,0.375
M71243_f_at,0.05,0.0,0.0
