feature,rfe_inclusion_prob,lasso_inclusion_prob,fdr_inclusion_prob
AB000895_at,0.025,0.0,0.0
AC000064_cds1_at,0.025,0.0,0.0
AF006087_at,0.025,0.0,0.0
AF009674_at,0.05,0.0,0.0
AF015950_at,0.025,0.0,0.0
D11086_at,0.025,0.0,0.0
D26308_at,0.1,0.0,0.0
D28532_at,0.025,0.0,0.0
D29643_at,0.1,0.0,0.05
D32050_at,0.075,0.025,0.1
D38548_at,0.025,0.0,0.0
D42043_at,0.05,0.0,0.0
D49400_at,0.025,0.0,0.0
D49950_at,0.075,0.0,0.025
D50918_at,0.025,0.0,0.05
D63476_at,0.025,0.0,0.0
D87432_at,0.025,0.0,0.0
D87434_at,0.025,0.0,0.0
D88422_at,0.025,0.0,0.05
D89052_at,0.025,0.0,0.025
D89667_at,0.05,0.0,0.0
HG3549-HT3751_at,0.075,0.0,0.0
HG3945-HT4215_at,0.225,0.0,0.0
HG4018-HT4288_at,0.05,0.0,0.0
J04469_at,0.025,0.0,0.0
J05243_at,0.1,0.0,0.175
L07548_at,0.05,0.0,0.0
L11669_at,0.325,0.0,0.225
L13761_rna1_at,0.025,0.0,0.0
L17131_rna1_at,0.025,0.0,0.0
L19437_at,0.025,0.0,0.0
L31881_at,0.075,0.0,0.0
L36033_at,0.025,0.0,0.0
L38500_at,0.05,0.0,0.0
L38933_rna1_at,0.025,0.0,0.0
L76191_at,0.1,0.0,0.0
L78833_cds2_at,0.025,0.0,0.0
M10612_at,0.05,0.0,0.0
M11147_at,0.075,0.0,0.15
M14016_at,0.2,0.0,0.0
M14636_at,0.05,0.0,0.075
M15059_at,0.025,0.0,0.05
M15182_at,0.025,0.0,0.0
M16038_at,0.05,0.0,0.575
M16424_at,0.05,0.0,0.0
M17733_at,0.05,0.0,0.0
M18000_at,0.025,0.0,0.0
M19507_at,0.775,0.05,0.275
M19684_at,0.05,0.0,0.0
M20902_at,0.05,0.0,0.0
M21551_rna1_at,0.075,0.0,0.0
M22960_at,0.175,0.05,0.725
M23197_at,0.7,0.95,1.0
M27891_at,0.425,0.15,0.925
M31303_rna1_at,0.025,0.0,0.1
M31994_at,0.05,0.0,0.0
M34344_at,0.1,0.0,0.0
M35252_at,0.025,0.0,0.0
M55150_at,0.25,0.25,0.7
M58297_at,0.05,0.0,0.0
M59371_at,0.025,0.0,0.0
M62762_at,0.2,0.05,0.55
M63138_at,0.075,0.0,0.6
M63379_at,0.025,0.025,0.025
M63582_at,0.05,0.0,0.0
M63959_at,0.025,0.0,0.075
M76378_at,0.1,0.0,0.0
M76424_at,0.025,0.0,0.0
M77810_at,0.35,0.0,0.0
M80254_at,0.125,0.025,0.2
M82809_at,0.075,0.0,0.0
M84526_at,0.5,0.15,0.8
M85169_at,0.025,0.0,0.0
M86406_at,0.025,0.0,0.0
M93056_at,0.175,0.075,0.25
M95178_at,0.1,0.0,0.0
M95678_at,0.225,0.0,0.05
M96326_rna1_at,0.55,0.0,0.15
M98045_at,0.025,0.0,0.05
S50223_at,0.025,0.0,0.1
S82470_at,0.05,0.0,0.1
U02493_at,0.05,0.0,0.0
U02556_at,0.025,0.0,0.0
U03057_at,0.1,0.0,0.0
U03090_at,0.025,0.0,0.025
U09578_at,0.05,0.0,0.05
U11861_at,0.025,0.0,0.0
U12471_cds1_at,0.075,0.0,0.025
U14968_at,0.025,0.0,0.0
U14972_at,0.025,0.0,0.0
U23946_at,0.025,0.0,0.0
U26727_at,0.1,0.0,0.0
U30999_at,0.025,0.0,0.15
U32576_rna1_at,0.025,0.0,0.0
U34877_at,0.475,0.0,0.0
U36621_cds2_at,0.025,0.0,0.0
U39226_at,0.025,0.0,0.0
U40434_at,0.025,0.0,0.0
U41635_at,0.025,0.0,0.0
U46499_at,0.25,0.175,0.3
U49070_at,0.025,0.0,0.0
U50136_rna1_at,0.025,0.025,0.225
U51127_at,0.025,0.0,0.0
U53468_at,0.025,0.0,0.0
U57721_at,0.05,0.0,0.0
U58766_at,0.05,0.0,0.0
U59878_at,0.025,0.0,0.0
U60269_cds3_at,0.05,0.0,0.0
U61836_at,0.025,0.0,0.125
U66083_at,0.025,0.0,0.0
U67319_at,0.025,0.0,0.0
U70063_at,0.075,0.0,0.05
U70867_at,0.025,0.0,0.025
U73377_at,0.025,0.0,0.0
U73960_at,0.025,0.025,0.05
U77604_at,0.125,0.0,0.0
U82759_at,0.2,0.0,0.075
U83410_at,0.025,0.0,0.025
U88047_at,0.025,0.0,0.025
U88964_at,0.025,0.0,0.0
U90313_at,0.025,0.0,0.0
U97502_rna1_at,0.05,0.0,0.0
X02317_at,0.025,0.0,0.0
X04085_rna1_at,0.3,0.0,0.05
X04143_at,0.05,0.0,0.0
X05409_at,0.05,0.0,0.0
X06617_at,0.025,0.0,0.0
X13839_at,0.1,0.0,0.025
X13956_at,0.025,0.0,0.0
X14046_at,0.025,0.0,0.0
X14850_at,0.025,0.0,0.0
X17042_at,0.25,0.25,0.75
X17254_at,0.025,0.0,0.0
X51521_at,0.1,0.0,0.025
X51630_at,0.025,0.0,0.0
X52730_rna1_at,0.075,0.0,0.0
X52966_at,0.025,0.0,0.0
X55668_at,0.025,0.0,0.0
X55715_at,0.1,0.0,0.0
X59417_at,0.0,0.025,0.45
X62320_at,0.025,0.0,0.025
X62654_rna1_at,0.15,0.025,0.2
X63359_at,0.025,0.0,0.0
X63469_at,0.0,0.05,0.375
X63753_at,0.05,0.0,0.0
X64364_at,0.2,0.0,0.0
X66867_cds1_at,0.15,0.0,0.15
X69111_at,0.025,0.0,0.0
X69819_at,0.075,0.0,0.0
X70297_at,0.1,0.05,0.325
X71973_at,0.125,0.0,0.0
X72964_at,0.075,0.0,0.0
X78520_at,0.025,0.0,0.0
X79067_at,0.075,0.0,0.025
X79440_at,0.025,0.0,0.0
X83378_at,0.025,0.0,0.0
X84709_at,0.025,0.0,0.0
X85545_at,0.05,0.0,0.0
X87838_at,0.025,0.0,0.0
X89576_at,0.025,0.0,0.0
X90872_at,0.05,0.0,0.0
X92106_at,0.025,0.0,0.0
X94232_at,0.025,0.0,0.0
X95735_at,0.275,0.55,0.95
X97795_at,0.075,0.0,0.0
X98411_at,0.025,0.0,0.05
X99728_at,0.05,0.0,0.0
X99920_at,0.05,0.0,0.0
Y00281_at,0.025,0.0,0.0
Y00282_at,0.05,0.0,0.0
Y00764_at,0.05,0.0,0.0
Y07604_at,0.75,0.025,0.175
Y07755_at,0.05,0.0,0.0
Y08612_at,0.025,0.15,0.65
Y10207_at,0.075,0.0,0.0
Y12670_at,0.1,0.0,0.0
Z24727_at,0.15,0.0,0.0
Z26876_at,0.025,0.0,0.0
Z29067_at,0.15,0.0,0.025
Z32684_at,0.1,0.0,0.0
Z32765_at,0.075,0.0,0.075
Z35227_at,0.025,0.0,0.0
Z37986_at,0.125,0.0,0.0
J02783_at,0.05,0.0,0.0
M91463_rna1_at,0.05,0.0,0.0
M96843_at,0.025,0.0,0.0
X55990_rna1_at,0.025,0.0,0.0
D38496_s_at,0.025,0.0,0.0
D63479_s_at,0.075,0.0,0.0
U19713_s_at,0.05,0.0,0.05
HG1761-HT1778_s_at,0.05,0.0,0.0
X06182_s_at,0.125,0.0,0.0
HG2562-HT2658_s_at,0.05,0.0,0.0
HG998-HT998_s_at,0.1,0.0,0.025
M29610_s_at,0.025,0.0,0.0
Y00339_s_at,0.05,0.0,0.0
U50327_s_at,0.05,0.0,0.0
L09209_s_at,0.2,0.075,0.5
L10338_s_at,0.025,0.0,0.0
U37055_rna1_s_at,0.45,0.0,0.025
U59632_s_at,0.025,0.0,0.0
M60974_s_at,0.025,0.0,0.0
V00565_s_at,0.025,0.0,0.0
X07438_s_at,0.2,0.0,0.1
M12959_s_at,0.025,0.0,0.0
M13690_s_at,0.35,0.0,0.0
M14328_s_at,0.075,0.0,0.025
M26708_s_at,0.425,0.025,0.1
Y00787_s_at,0.05,0.025,0.075
M19508_xpt3_s_at,0.25,0.0,0.125
M84371_rna1_s_at,0.075,0.0,0.05
X12876_s_at,0.025,0.0,0.0
M29932_s_at,0.025,0.0,0.0
M30703_s_at,0.025,0.0,0.0
M31211_s_at,0.05,0.0,0.45
M65214_s_at,0.05,0.0,0.275
