feature,rfe_inclusion_prob,lasso_inclusion_prob,fdr_inclusion_prob
D25539_at,0.45,0.0,0.0
D25547_at,0.05,0.0,0.0
D26018_at,0.35,0.0,0.0
D26069_at,0.05,0.0,0.0
D26129_at,0.525,0.0,0.0
D26135_at,0.075,0.0,0.0
D26308_at,1.0,0.0,0.0
D26361_at,0.45,0.0,0.0
D26362_at,0.25,0.0,0.0
D26443_at,0.025,0.0,0.0
D26561_cds2_at,0.1,0.0,0.0
D26579_at,0.3,0.0,0.0
D26598_at,0.075,0.0,0.0
D26599_at,0.025,0.0,0.0
D26600_at,0.025,0.0,0.0
D28124_at,0.025,0.0,0.0
D28137_at,0.025,0.0,0.0
D28383_at,0.225,0.0,0.0
D28416_at,0.15,0.0,0.0
D28423_at,0.475,0.0,0.0
D28483_at,0.025,0.0,0.0
D28532_at,0.725,0.0,0.0
D28915_at,0.075,0.0,0.0
D29012_at,0.15,0.0,0.0
D29013_at,0.05,0.0,0.0
D29643_at,1.0,0.0,0.05
D29677_at,0.075,0.0,0.0
D29956_at,0.025,0.0,0.0
D29958_at,0.025,0.0,0.0
D29963_at,0.5,0.0,0.0
D30036_at,0.15,0.0,0.0
D30037_at,0.6,0.0,0.0
D30655_at,0.9,0.0,0.0
D30742_at,0.4,0.0,0.0
D30756_at,0.025,0.0,0.0
D30758_at,0.025,0.0,0.0
D31762_at,0.025,0.0,0.0
D31765_at,0.4,0.0,0.0
D31766_at,0.025,0.0,0.0
D31846_at,0.05,0.0,0.0
D31883_at,0.075,0.0,0.0
D31884_at,0.125,0.0,0.0
D31886_at,0.275,0.0,0.0
D31890_at,0.125,0.0,0.0
D31891_at,0.35,0.0,0.0
D31897_at,0.05,0.0,0.0
D32050_at,0.9,0.025,0.1
D32202_at,0.025,0.0,0.0
D37931_at,0.125,0.0,0.0
D38037_at,0.2,0.0,0.0
D38047_at,0.15,0.0,0.0
D38076_at,0.35,0.0,0.0
D38128_at,0.325,0.0,0.0
D38145_at,0.075,0.0,0.0
D38293_at,0.025,0.0,0.0
D38305_at,0.05,0.0,0.0
D38500_at,0.2,0.0,0.0
D38521_at,0.8,0.0,0.0
D38524_at,0.075,0.0,0.0
D38535_at,0.175,0.0,0.0
D38548_at,0.8,0.0,0.0
D38551_at,0.15,0.0,0.0
D38552_at,0.525,0.0,0.0
D38553_at,0.025,0.0,0.0
D38583_at,0.475,0.0,0.0
D38751_at,0.55,0.0,0.0
D42039_at,0.025,0.0,0.0
D42041_at,0.575,0.0,0.0
D42043_at,1.0,0.0,0.0
D42044_at,0.4,0.0,0.0
D42045_at,0.125,0.0,0.0
D42046_at,0.025,0.0,0.0
D42073_at,0.075,0.0,0.0
D42085_at,0.025,0.0,0.0
D42087_at,0.15,0.0,0.0
D42123_at,0.125,0.0,0.0
D43638_at,0.325,0.0,0.0
D43767_at,0.025,0.0,0.0
D43768_at,0.075,0.0,0.0
D43772_at,0.7,0.0,0.0
D43948_at,0.125,0.0,0.0
D43949_at,0.325,0.0,0.0
D43950_at,0.175,0.0,0.0
D43951_at,0.35,0.0,0.0
D45248_at,0.825,0.0,0.0
D45370_at,0.85,0.0,0.0
D45371_at,0.05,0.0,0.0
D45906_at,0.025,0.0,0.0
D49357_at,0.05,0.0,0.0
D49394_at,0.025,0.0,0.0
D49396_at,0.025,0.0,0.0
D49400_at,0.925,0.0,0.0
D49410_at,0.1,0.0,0.0
D49490_at,0.1,0.0,0.0
D49493_at,0.025,0.0,0.0
D49738_at,0.425,0.0,0.0
D49817_at,0.175,0.0,0.0
D49818_at,0.05,0.0,0.0
D49950_at,1.0,0.0,0.025
D49958_at,0.025,0.0,0.0
D50063_at,0.65,0.0,0.05
D50310_at,0.125,0.0,0.0
D50312_at,0.6,0.0,0.0
D50487_at,0.05,0.0,0.0
D50495_at,0.05,0.0,0.0
D50582_at,0.025,0.0,0.0
D50663_at,0.125,0.0,0.0
D50678_at,0.025,0.0,0.0
D50692_at,0.275,0.0,0.0
D50810_at,0.55,0.0,0.0
D50840_at,0.1,0.0,0.0
D50857_at,0.025,0.0,0.0
D50911_at,0.5,0.0,0.0
D50912_at,0.975,0.0,0.0
D50913_at,0.45,0.0,0.0
D50914_at,0.425,0.0,0.0
D50915_at,0.7,0.0,0.0
D50916_at,0.025,0.0,0.0
D50917_at,0.225,0.0,0.0
D50918_at,0.925,0.0,0.05
D50920_at,0.1,0.0,0.0
D50922_at,0.025,0.0,0.0
D50923_at,0.075,0.0,0.0
D50926_at,0.175,0.0,0.0
D50930_at,0.625,0.0,0.0
D55640_at,0.325,0.0,0.0
D55696_at,0.5,0.0,0.0
D55716_at,0.025,0.0,0.0
D56495_at,0.15,0.0,0.0
D63135_at,0.075,0.0,0.0
D63160_at,0.15,0.0,0.0
D63391_at,0.2,0.0,0.0
D63476_at,0.25,0.0,0.0
D63480_at,0.175,0.0,0.0
D63482_at,0.125,0.0,0.0
D63483_at,0.375,0.0,0.0
D63484_at,0.85,0.0,0.0
D63874_at,0.65,0.0,0.0
D63875_at,0.15,0.0,0.0
D63877_at,0.025,0.0,0.0
D63880_at,0.975,0.0,0.0
D63881_at,0.05,0.0,0.0
D64109_at,0.025,0.0,0.0
D64154_at,0.275,0.0,0.0
D64158_at,0.45,0.0,0.0
D67029_at,0.05,0.0,0.0
D78334_at,0.05,0.0,0.0
D78335_at,0.025,0.0,0.0
D78586_at,0.225,0.0,0.0
D78611_at,0.5,0.0,0.0
D79205_at,0.25,0.0,0.0
D79987_at,0.05,0.0,0.0
D79988_at,0.95,0.0,0.0
D79989_at,0.125,0.0,0.0
D79991_at,0.025,0.0,0.0
D79994_at,0.775,0.0,0.0
D79998_at,0.95,0.0,0.0
D80003_at,0.7,0.0,0.0
D80004_at,0.025,0.0,0.0
D80006_at,0.725,0.0,0.0
D80007_at,0.1,0.0,0.0
D80009_at,0.05,0.0,0.025
D80010_at,0.35,0.0,0.0
D82060_at,0.025,0.0,0.0
D82061_at,0.125,0.0,0.0
D82070_at,0.025,0.0,0.0
D82326_at,0.075,0.0,0.0
D82344_at,0.15,0.0,0.0
D82346_at,0.475,0.0,0.0
D83032_at,0.1,0.0,0.0
D83243_at,0.675,0.0,0.0
D83657_at,0.075,0.0,0.0
D83703_at,0.05,0.0,0.0
D83735_at,0.075,0.0,0.0
D83776_at,0.025,0.0,0.0
D83777_at,0.675,0.0,0.0
D83778_at,0.05,0.0,0.0
D83779_at,0.95,0.0,0.0
D83781_at,0.1,0.0,0.0
D83783_at,0.025,0.0,0.0
D83784_at,0.025,0.0,0.0
D83785_at,0.775,0.0,0.0
D84110_at,0.025,0.0,0.0
D84145_at,0.175,0.0,0.0
D84239_at,0.025,0.0,0.0
D84276_at,0.175,0.0,0.0
D84294_at,0.8,0.0,0.0
D84307_at,0.025,0.0,0.0
D84361_at,0.025,0.0,0.0
D84424_at,0.1,0.0,0.0
D84454_at,0.375,0.0,0.0
D84557_at,0.275,0.0,0.0
D85245_at,0.275,0.0,0.0
D85418_at,0.15,0.0,0.0
D85423_at,0.25,0.0,0.0
D85429_at,0.45,0.0,0.0
D85433_at,0.025,0.0,0.0
D85758_at,0.025,0.0,0.0
D85815_at,0.075,0.0,0.0
D85939_at,0.1,0.0,0.0
D86479_at,0.325,0.0,0.0
D86549_at,0.025,0.0,0.0
D86640_at,0.175,0.0,0.0
D86956_at,0.4,0.0,0.0
D86957_at,0.05,0.0,0.0
D86959_at,0.05,0.0,0.0
D86960_at,0.25,0.0,0.0
D86962_at,0.075,0.0,0.0
D86964_at,0.025,0.0,0.0
D86966_at,0.05,0.0,0.0
D86967_at,0.8,0.0,0.0
D86970_at,0.225,0.0,0.0
D86975_at,0.2,0.0,0.0
D86976_at,0.95,0.0,0.0
D86977_at,0.125,0.0,0.0
D86978_at,0.35,0.0,0.0
D86979_at,0.5,0.0,0.0
D86982_at,0.25,0.0,0.0
D86983_at,0.875,0.0,0.0
D86984_at,0.75,0.0,0.0
D87023_cds2_at,0.025,0.0,0.0
D87073_at,0.075,0.0,0.0
D87076_at,1.0,0.0,0.0
D87077_at,0.1,0.0,0.0
D87078_at,0.5,0.0,0.0
D87116_at,0.425,0.0,0.0
D87119_at,0.075,0.0,0.0
D87127_at,0.75,0.0,0.0
D87292_at,0.225,0.0,0.0
D87328_at,0.025,0.0,0.0
D87432_at,0.6,0.0,0.0
D87433_at,0.025,0.0,0.0
D87434_at,0.75,0.0,0.0
D87436_at,0.025,0.0,0.0
D87437_at,0.05,0.0,0.0
D87442_at,0.925,0.0,0.025
D87445_at,0.175,0.0,0.0
D87446_at,0.025,0.0,0.0
D87447_at,0.125,0.0,0.0
D87449_at,0.6,0.0,0.0
D87450_at,0.075,0.0,0.0
D87452_at,0.725,0.0,0.0
D87455_at,0.025,0.0,0.0
D87457_at,0.05,0.0,0.0
D87461_at,0.05,0.0,0.0
D87462_at,0.075,0.0,0.0
D87465_at,0.025,0.0,0.0
D87467_at,0.075,0.0,0.0
D87468_at,0.325,0.0,0.0
D87469_at,0.025,0.0,0.0
D87470_at,0.05,0.0,0.0
D87682_at,0.075,0.0,0.0
D87685_at,0.125,0.0,0.0
D87735_at,0.05,0.0,0.0
D87937_at,0.025,0.0,0.0
D87953_at,0.025,0.0,0.0
D87957_at,0.05,0.0,0.0
D87989_at,0.175,0.0,0.0
D88146_at,0.05,0.0,0.0
D88270_at,0.85,0.0,0.0
D88422_at,1.0,0.0,0.05
D88460_at,0.075,0.0,0.0
